date,open,high,low,close,Volume ETH,Volume USDT,tradecount
2018-03-20 08-PM,561,567.87,553.39,558.36,8566.81,4809865.72,NULL
2018-03-20 07-PM,553.35,562,549,561,4944.1,2751992.67,NULL
2018-03-20 06-PM,556,558,550.94,553.35,5383.44,2987961.61,NULL
2018-03-20 05-PM,550.7,557.49,547.61,556,7709.13,4254083.48,NULL
2018-03-20 04-PM,534.78,554.16,534.01,550.7,12728.59,6976368.56,NULL
2018-03-20 03-PM,534.19,540,533.26,534.78,3130.72,1679234.82,NULL
2018-03-20 02-PM,531.42,536,527.74,534.19,4292.38,2280903.04,NULL
2018-03-20 01-PM,537.2,539.97,530.38,531.42,5496.62,2943815.02,NULL
2018-03-20 12-PM,532.98,541.11,526.4,537.2,3670.78,1961333.9,NULL
2018-03-20 11-AM,529.23,534.05,525.04,532.98,2901.69,1540745.12,NULL
2018-03-20 10-AM,527.48,531,521.78,529.21,3559.23,1876999.46,NULL
2018-03-20 09-AM,519.9,529.83,515,527.48,5319.29,2774076.5,NULL
2018-03-20 08-AM,527.07,529.11,518.5,519.9,7675.22,4013170.89,NULL
2018-03-20 07-AM,539.88,540.99,525.25,527.07,4803.84,2560685.68,NULL
2018-03-20 06-AM,538.84,542.5,535.03,539.88,3202.25,1725856.26,NULL
2018-03-20 05-AM,534.99,540,530,538.84,4367.39,2335859.39,NULL
2018-03-20 04-AM,554,554,531.01,534.99,8006.68,4344463.26,NULL
2018-03-20 03-AM,550.26,556.45,548,554,5532.72,3055622.48,NULL
2018-03-20 02-AM,544.53,552.5,542.6,550.26,5054.9,2771677.86,NULL
2018-03-20 01-AM,550,553.3,542.1,544.53,4983.45,2735321.1,NULL
2018-03-20 12-AM,556.88,556.96,544.5,550,5420.78,2977198.71,NULL
2018-03-19 11-PM,540.86,557.77,537,556.88,8844.18,4862426.41,NULL
2018-03-19 10-PM,541.26,551.64,540,540.86,5606.57,3051196.31,NULL
2018-03-19 09-PM,541,546.53,539.99,541.26,3106.53,1687764.41,NULL
2018-03-19 08-PM,536.43,544.36,536.05,541,4654.01,2514504.89,NULL
2018-03-19 07-PM,532.59,541.29,530.3,536.43,6234.83,3346401.66,NULL
2018-03-19 06-PM,532.28,541.12,530.31,532.59,5181.13,2779236.49,NULL
2018-03-19 05-PM,540.4,541.02,527.19,532.2,12546.01,6714905.68,NULL
2018-03-19 04-PM,550.3,560,540,540.4,9286.51,5144460.99,NULL
2018-03-19 03-PM,547.05,555,541.18,550.3,6029.39,3306362.12,NULL
2018-03-19 02-PM,545.96,557,542,547.05,12860.38,7068667.88,NULL
2018-03-19 01-PM,528.09,551.28,525,545.96,9489.58,5123358.29,NULL
2018-03-19 12-PM,538.1,538.1,523.17,528.09,4295.02,2272183.19,NULL
2018-03-19 11-AM,527.72,539,526.56,538.1,5983.78,3187860.9,NULL
2018-03-19 10-AM,527.05,528.79,515.8,527.72,8703.53,4544815.39,NULL
2018-03-19 09-AM,546.58,546.86,527,527.05,8554.91,4573750.4,NULL
2018-03-19 08-AM,547.01,552,545.13,546.58,6605.21,3625920.86,NULL
2018-03-19 07-AM,540.89,547.11,538.09,547.01,3023.8,1644554.24,NULL
2018-03-19 06-AM,547.37,549,539.4,540.89,4958.58,2699419.46,NULL
2018-03-19 05-AM,531.18,548,529.5,547.11,5271.39,2848224.32,NULL
2018-03-19 04-AM,527.55,533,526.37,531.18,3410.36,1808569.34,NULL
2018-03-19 03-AM,531.42,536.73,524.5,527.55,4557.89,2417446.09,NULL
2018-03-19 02-AM,534.97,542.89,525.41,531.42,6586.6,3509217.03,NULL
2018-03-19 01-AM,548.55,552,519.16,534.97,13375.82,7099791.4,NULL
2018-03-19 12-AM,537,558.5,536.52,548.55,14300.72,7864382.65,NULL
2018-03-18 11-PM,531.71,547,530.31,537,11173.26,6028003.64,NULL
2018-03-18 10-PM,551.5,553,526,531.71,14520.67,7795797.95,NULL
2018-03-18 09-PM,507,560,506.82,551.5,28362.19,15173137.9,NULL
2018-03-18 08-PM,486.4,508.74,485.58,507,8350.56,4154963.93,NULL
2018-03-18 07-PM,482.99,490.98,472.01,486.4,9693.75,4670123.19,NULL
2018-03-18 06-PM,488.14,509.51,481.27,482.99,11771.73,5827410.63,NULL
2018-03-18 05-PM,471.19,491.46,465,488.14,9196.64,4408760.87,NULL
2018-03-18 04-PM,461,479.8,450,471.19,15932.05,7413752.92,NULL
2018-03-18 03-PM,473.49,477.89,460.11,461,13292.31,6249169.53,NULL
2018-03-18 02-PM,481.93,484.96,455,473.49,29195.91,13679291.18,NULL
2018-03-18 01-PM,502.83,505,477.01,481.93,11623.26,5673096.16,NULL
2018-03-18 12-PM,517.52,518.8,499,502.83,6517.73,3322062.49,NULL
2018-03-18 11-AM,500,519.86,495,517.52,6232.07,3157511.13,NULL
2018-03-18 10-AM,511.9,514.41,497,500,7626,3841236.45,NULL
2018-03-18 09-AM,518.28,520.4,511.01,511.9,3559.12,1834301,NULL
2018-03-18 08-AM,516.41,523,515,518.28,2744.01,1425704.04,NULL
2018-03-18 07-AM,522.52,523.48,515.51,516.41,2555.44,1327053.26,NULL
2018-03-18 06-AM,519,524,515,522.52,3239.16,1683575.38,NULL
2018-03-18 05-AM,510.17,522,510,519,3386.62,1745921.25,NULL
2018-03-18 04-AM,519,525,507,510.17,5166.02,2670867.82,NULL
2018-03-18 03-AM,516.1,524.25,510.09,519,6868.7,3558114.38,NULL
2018-03-18 02-AM,527.12,528,509,516.1,9485.12,4915889.45,NULL
2018-03-18 01-AM,523.42,538.03,523,527.12,5020.47,2669321.05,NULL
2018-03-18 12-AM,546.95,548.95,522.49,523.42,6653.01,3553203.55,NULL
2018-03-17 11-PM,561.98,562.68,545,546.95,2570.36,1417617.16,NULL
2018-03-17 10-PM,555,562,553.66,561.98,2198.46,1226424.41,NULL
2018-03-17 09-PM,550.27,567,549.32,555,5822.64,3246535.97,NULL
2018-03-17 08-PM,551.67,553,544,550.27,4676.27,2558602,NULL
2018-03-17 07-PM,560.03,561.22,547.28,551.67,4947.52,2735134.26,NULL
2018-03-17 06-PM,571.58,573.72,556.96,560.03,4689.25,2645583.76,NULL
2018-03-17 05-PM,572.92,576,570,571.58,2393.69,1370908.45,NULL
2018-03-17 04-PM,575,577.2,572,572.92,4258.12,2444898.36,NULL
2018-03-17 03-PM,581.22,582.57,573.98,575,5447.02,3144633.71,NULL
2018-03-17 02-PM,582.51,586.84,580.05,581.22,2638.56,1538814.53,NULL
2018-03-17 01-PM,589.48,592.99,580,582.51,3089.38,1805921.65,NULL
2018-03-17 12-PM,597.54,598.26,586.08,589.48,4128.46,2442735.65,NULL
