Open,High,Low,Close,Volume USDT
865.68,868.5,856.31,868.5,2781498.87
871.64,873.95,862.1,865.68,3247769.08
867.74,877.56,865.01,871.64,4328329.31
859.4,868.81,857.95,867.74,3149316.49
865.69,865.71,856,859.4,2771475
857.03,866.7,853.5,865.69,2940250.69
857,865,853.16,857.03,4637221.36
842.67,858.59,842.04,857,4017130.64
856.78,859.41,840.26,842.67,8179444.64
867.94,868.7,854.52,856.91,3478884.3
855.92,870.5,855.21,867.94,3929464.09
871.2,871.98,853.99,855.92,5152846.71
867.57,871.99,859.41,871.2,3801024.81
866.09,874,858,867.57,6633169.14
846,870.99,845.93,866.09,10203205.24
842.12,850.99,835.54,846,3541239.86
834.21,845,834.21,842.12,2081110.39
845.85,845.85,830,834.21,3665388.45
845.35,851.96,839.62,845.85,5224797.69
848.45,851.75,837.8,845.35,6943132.23
829.97,848.47,825,848.45,5840571.89
821.71,842.45,817.93,829.97,5816968.56
808.99,828.34,807.46,821.71,4049586.91
830.31,833.94,805,808.99,6248234.34
835.4,837.52,828.68,830.31,2392422.72
830,841.64,828.7,835.4,2892222.77
831.44,834.98,825.21,830,2707865.29
836.6,843.72,825.49,831.44,3333161.97
826.19,838.16,822,836.6,3986336.56
837.91,843.26,821.6,826.19,4654499.61
850.7,857,827.5,837.91,8730929.36
850.01,851.88,838.43,850.68,5378717.54
830.03,851.05,825.45,850.01,6365872.28
833.27,841,824.5,830.03,6602567.69
819.44,839.5,814.1,833.27,9053602
803,823,796,819.44,6052841.66
816.31,819,790,803,7159228.16
788.23,817,780.01,816.31,7558098.15
783.7,790.69,768.28,788.49,7205626.78
801.99,802.81,778.52,783.7,6652514.72
808,809.72,792.01,801.99,6190471.44
791.6,816,790.02,808,7624070.01
796.58,808,789.13,791.6,3771211.01
822,822.53,794.01,796.58,9082919.27
821.95,826,816.38,822,4332570.23
837.52,838.78,815,822.14,6585241.86
851.15,851.93,823.78,837.52,5445651.21
852.91,854.99,844.75,851.15,3721374.7
821.02,854.88,819.79,852.91,7136610.01
817.99,826.98,810.02,821.02,4810565.15
840.67,840.73,812,817.99,5517737.03
827.52,842,820.01,840.67,6079544.32
840.18,845.29,826.35,827.52,4889046.92
819.25,846,818.51,840.18,7301567.53
829.21,848,800,819.25,12193077.89
864.73,868,825,829.21,13785346.07
878.04,884.98,862.34,864.73,5524755.55
866.62,883.23,866.01,878.04,5190931.91
869.73,872,855.1,866.62,3982467.79
853.4,874.82,853.4,869.73,5615247.84
865.08,869.95,851.03,853.4,7091102.65
859,879.2,857.24,864.99,9437393.84
897.02,897.26,856.49,859,14381688.42
907.97,910,890,897.02,8871302.97
892.59,911.2,892.58,907.97,4567668.18
881.89,896,881.06,892.59,3175607.77
891.22,893.5,878.19,881.89,6121225.06
890,900,886.07,891.22,6350465.39
877.97,891.71,870,890,5023272.08
889.51,894,870.11,877.97,7543444.86
877,892.8,867.55,889.51,8012977.07
863,882,862.32,877,4457511.43
860.08,868.31,850.7,863,3961222.45
855,867,850.12,860.08,5070967.79
872.44,879,852.7,855,4358997.87
868.11,877.99,867.32,872.44,2953644.09
870.6,882.2,862.33,868.11,5573296.42
850,880,849.4,870.6,7812933.42
845.38,856.83,843.29,850,3394351.28
852.85,860,841.32,845.38,6506366.61
834.18,862,832.61,852.85,9809267.17
827.1,836.04,826.9,834.18,3040090.68
834,837.56,823.99,827.1,3478917.68
827,843,823,834,5493590.26
781.66,837,781.66,827,8312238.51
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
781.66,781.66,781.66,781.66,0
754,786.93,751,781.66,7276300.78
787,790.29,747.95,754,18153795.25
814.99,815,780,787,11017556.81
822.06,833,808,814.99,4788578.33
821.5,829.54,803.11,822.06,6773622.81
830.57,830.57,813.37,821.5,7542498.39
836.71,849,826.01,830.57,7755549.76
799.46,842,796.13,836.71,9778646.16
817,820.52,789.82,799.46,12729637.97
822.81,834.08,805.76,817,10472608.33
822,839.65,809.92,822.81,14726431.69
827.92,847.21,822,822,12344304.72
820.42,836.6,806.11,827.92,15761020.7
828.35,840,794,820.42,17751423.07
810.12,832,806,828.35,12934523.45
775,813,774.1,810.12,13747572.98
771,786.87,763.51,775,9000177.66
748.55,775.93,736.01,771,7740323.5
748.35,748.56,726,748.55,5739112.37
746,760.14,736.89,748.35,6914217.11
721.82,758,714.18,746,9327372.86
728,746.01,715.5,721.82,9689826.95
768.94,780.55,721.2,728,9913094.76
765.6,784.68,761.5,768.94,6409855.08
779.25,792.12,752.12,765.6,11469246.69
771.42,795,761.91,779.25,9852200.2
789.11,792.33,750.69,771.42,11716144.18
758.81,798,753,789.11,14412177.8
754.34,789,745,758.81,16736730.25
720.22,762.5,719.83,754.34,12113714.84
